FIPS,County,State,Longitude,Latitude,Population,cases
29201,Scott,Missouri,-89.5686,37.053,37967,0
5009,Boone,Arkansas,-93.0915,36.3086,37896,0
21035,Calloway,Kentucky,-88.2723,36.621,37882,0
19099,Jasper,Iowa,-93.0538,41.686,37864,0
56001,Albany,Wyoming,-105.7238,41.6546,37713,0
24041,Talbot,Maryland,-76.0971,38.7714,37707,0
42035,Clinton,Pennsylvania,-77.6385,41.234,37707,0
18017,Cass,Indiana,-86.346,40.7615,37703,0
1039,Covington,Alabama,-86.4513,31.2485,37647,0
17055,Franklin,Illinois,-88.9242,37.9923,37541,0
1047,Dallas,Alabama,-87.1065,32.326,37536,0
37055,Dare,North Carolina,-75.7988,35.7824,37534,0
37113,Macon,North Carolina,-83.4222,35.1505,37533,0
50001,Addison,Vermont,-73.1408,44.0309,37497,0
26061,Houghton,Michigan,-88.6875,46.8976,37428,0
37197,Yadkin,North Carolina,-80.6652,36.1605,37419,0
27147,Steele,Minnesota,-93.2261,44.0223,37413,0
48223,Hopkins,Texas,-95.5639,33.1496,37351,0
50003,Bennington,Vermont,-73.0932,43.0354,37312,0
42031,Clarion,Pennsylvania,-79.421,41.1924,37297,0
17121,Marion,Illinois,-88.919,38.6496,37294,0
51137,Orange,Virginia,-78.014,38.2461,37208,0
31053,Dodge,Nebraska,-96.654,41.5779,37146,0
23023,Sagadahoc,Maine,-69.8546,43.9598,37093,0
18133,Putnam,Indiana,-86.845,39.6663,37091,0
36031,Essex,New York,-73.7726,44.1172,37077,0
22069,Natchitoches,Louisiana,-93.0962,31.7234,37047,0
55045,Green,Wisconsin,-89.6022,42.68,37036,0
21049,Clark,Kentucky,-84.1474,37.9708,37004,0
40111,Okmulgee,Oklahoma,-95.9643,35.6466,36922,0
17027,Clinton,Illinois,-89.4225,38.6065,36899,0
39171,Williams,Ohio,-84.5881,41.5603,36862,0
19187,Webster,Iowa,-94.1818,42.4279,36848,0
26041,Delta,Michigan,-86.9241,45.9193,36829,0
17081,Jefferson,Illinois,-88.924,38.3005,36808,0
27085,McLeod,Minnesota,-94.2724,44.8236,36771,0
18069,Huntington,Indiana,-85.4881,40.8292,36757,0
21235,Whitley,Kentucky,-84.1452,36.7581,36755,0
1053,Escambia,Alabama,-87.1615,31.1262,36695,0
47045,Dyer,Tennessee,-89.4137,36.0592,36681,0
39031,Coshocton,Ohio,-81.9201,40.3017,36679,0
48217,Hill,Texas,-97.1324,31.9907,36664,0
22011,Beauregard,Louisiana,-93.3432,30.6486,36646,0
21083,Graves,Kentucky,-88.6512,36.7231,36612,0
48147,Fannin,Texas,-96.1069,33.5938,36525,0
47029,Cocke,Tennessee,-83.1212,35.9254,36503,0
29219,Warren,Missouri,-91.1607,38.7646,36467,0
49047,Uintah,Utah,-109.5186,40.1248,36458,0
27017,Carlton,Minnesota,-92.677,46.5924,36457,0
26033,Chippewa,Michigan,-84.578,46.3053,36448,0
37003,Alexander,North Carolina,-81.177,35.921,36440,0
48321,Matagorda,Texas,-96.011,28.8212,36274,0
29105,Laclede,Missouri,-92.5903,37.6583,36245,0
22119,Webster,Louisiana,-93.335,32.7135,36189,0
48477,Washington,Texas,-96.4034,30.2145,36156,0
18083,Knox,Indiana,-87.418,38.6891,36108,0
18001,Adams,Indiana,-84.9367,40.7457,35995,0
19167,Sioux,Iowa,-96.1779,43.0826,35984,0
13299,Ware,Georgia,-82.4237,31.0538,35958,0
31157,Scotts Bluff,Nebraska,-103.708,41.8506,35937,0
20061,Geary,Kansas,-96.7525,39.0024,35895,0
23015,Lincoln,Maine,-69.5434,44.0665,35840,0
49051,Wasatch,Utah,-111.1682,40.3308,35808,0
18103,Miami,Indiana,-86.045,40.7695,35772,0
51195,Wise,Virginia,-82.6212,36.9752,35727,0
17105,Livingston,Illinois,-88.5577,40.8916,35659,0
21089,Greenup,Kentucky,-82.9223,38.5457,35639,0
47103,Lincoln,Tennessee,-86.589,35.1405,35617,0
30093,Silver Bow,Montana,-112.6567,45.9024,35589,0
31119,Madison,Nebraska,-97.6008,41.9167,35535,0
13145,Harris,Georgia,-84.9089,32.736,35509,0
39127,Perry,Ohio,-82.2361,39.7372,35474,0
21071,Floyd,Kentucky,-82.7457,37.5571,35342,0
47117,Marshall,Tennessee,-86.765,35.4689,35276,0
42059,Greene,Pennsylvania,-80.2229,39.8538,35265,0
19179,Wapello,Iowa,-92.4095,41.0306,35265,0
27005,Becker,Minnesota,-95.674,46.9346,35260,0
39117,Morrow,Ohio,-82.7941,40.5241,35214,0
17133,Monroe,Illinois,-90.1773,38.2785,34969,0
46011,Brookings,South Dakota,-96.7904,44.3697,34968,0
29009,Barry,Missouri,-93.8291,36.7099,34831,0
28085,Lincoln,Mississippi,-90.454,31.5324,34830,0
55019,Clark,Wisconsin,-90.6121,44.7347,34736,0
12027,DeSoto,Florida,-81.8095,27.1864,34719,0
18151,Steuben,Indiana,-85.0008,41.6439,34648,0
20121,Miami,Kansas,-94.8381,38.5635,34625,0
12129,Wakulla,Florida,-84.4007,30.1673,34608,0
35055,Taos,New Mexico,-105.631,36.5783,34516,0
17049,Effingham,Illinois,-88.5899,39.0598,34505,0
28003,Alcorn,Mississippi,-88.5803,34.8808,34500,0
20035,Cowley,Kansas,-96.8375,37.2377,34487,0
